2025-02-26 14:19:37 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:19:42 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:19:42 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:19:48 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:19:48 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:19:52 | ERROR | ERREUR | SERVICE | Erreur : strptime() argument 1 must be str, not None
2025-02-26 14:25:50 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:25:50 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:25:55 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:25:55 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:26:01 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:26:01 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:26:06 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:26:06 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:26:12 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:26:12 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:26:16 | ERROR | ERREUR | SERVICE | Erreur : strptime() argument 1 must be str, not None
2025-02-26 22:23:47 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 947
2025-02-26 22:23:47 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:23:53 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:23:53 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:23:59 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:23:59 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:24:04 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
